,id,decision,date,buying_price,median_price_zipcode,selling_price_suggestion,expected_profit,condition,zipcode,dist_fromlake,yr_built,yr_renovated,bedrooms,bathrooms,sqft_living,sqft_above,sqft_lot,sqft_basement,floors,waterfront,grade,lat,long,query,road,house_number,neighbourhood,city,county,state,season,med_autumn,med_spring,med_summer,med_winter,season_to_sell
2559,9521100280,1,2014-06-12,480000.0,550000.0,624000.0,144000.0,3,98103,7.33000401133612,2005,0,3,2.5,1250,1250,1103,0,3.0,0,8,47.6619,-122.352,"47.6619,-122.352",North 46th Street,513,,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
2560,3432500765,1,2014-06-12,320000.0,379975.0,416000.0,96000.0,4,98155,11.93052672174947,1947,0,2,1.0,1100,1100,8281,0,1.0,0,7,47.7414,-122.315,"47.7414,-122.315",Northeast 155th Street,1292,,Shoreline,King County,Washington,spring,360000.0,382500.0,364500.0,410000.0,autumn spring summer winter 
2562,7016100120,1,2014-06-12,440000.0,470000.0,572000.0,132000.0,5,98011,12.269137938928909,1972,0,3,2.75,1560,1030,7392,530,1.0,0,7,47.7382,-122.182,"47.7382,-122.182",Northeast 153rd Place,11931,,,King County,Washington,spring,452000.0,478500.0,460000.0,512500.0,autumn spring summer winter 
2563,2581900036,1,2014-06-12,743000.0,993750.0,965900.0,222900.0,4,98040,11.655816029611142,1961,0,3,1.75,2110,2110,11250,0,1.0,0,8,47.5402,-122.216,"47.5402,-122.216",Southeast 70th Place,9223,,,King County,Washington,spring,1070000.0,1081000.0,940000.0,1049000.0,autumn spring summer winter 
2564,7549800543,1,2014-06-12,300000.0,342500.0,390000.0,90000.0,3,98108,10.498735691191047,2008,0,3,3.25,1470,1180,1235,290,2.0,0,7,47.5537,-122.313,"47.5537,-122.313",15th Avenue South,5338,South Seattle,Seattle,King County,Washington,spring,340000.0,355000.0,339000.0,380000.0,autumn spring summer winter 
2565,4137050130,1,2014-06-12,294000.0,309780.0,382200.0,88200.0,3,98092,41.92845240765758,1990,0,4,2.5,2210,1490,8465,720,1.0,0,8,47.2647,-122.221,"47.2647,-122.221",47th Street Southeast,512,,,King County,Washington,spring,312500.0,323000.0,303975.0,298900.0,autumn spring summer winter 
2566,7200001756,1,2014-06-12,349950.0,615000.0,454935.0,104985.0,3,98052,12.16028994495736,1966,0,3,1.0,1060,1060,9525,0,1.0,0,7,47.6855,-122.111,"47.6855,-122.111",Northeast 95th Street,17129,Education Hill,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
2568,8850000285,1,2014-06-12,350000.0,457500.0,455000.0,105000.0,4,98144,6.905900936514623,1904,0,4,2.25,2300,1340,4600,960,1.5,0,7,47.5895,-122.311,"47.5895,-122.311",17th Avenue South,1517,,Seattle,King County,Washington,spring,425000.0,460000.0,490000.0,474500.0,autumn spring summer winter 
2570,7731100066,1,2014-06-12,545000.0,675000.0,708500.0,163500.0,3,98105,4.365871393912005,1909,0,3,1.0,1510,1510,5000,0,1.5,0,7,47.6708,-122.297,"47.6708,-122.297",28th Avenue Northeast,5726,Ravenna,Seattle,King County,Washington,spring,623000.0,725000.0,675000.0,665000.0,autumn spring summer winter 
2572,1246700050,1,2014-06-12,370000.0,678350.0,481000.0,111000.0,4,98033,9.27625719959818,1947,0,2,1.0,1220,1220,17172,0,1.0,0,6,47.6934,-122.163,"47.6934,-122.163",Northeast 104th Street,13354,,,King County,Washington,spring,649800.0,698000.0,675000.0,725000.0,autumn spring summer winter 
2574,3630030500,1,2014-06-12,561000.0,575000.0,729300.0,168300.0,3,98029,22.11986398994569,2004,0,3,2.25,1710,1710,4140,0,2.0,0,8,47.5498,-121.997,"47.5498,-121.997",Northeast Larchmount Street,2561,,,King County,Washington,spring,575000.0,592500.0,561000.0,560000.0,autumn spring summer 
2575,982850080,1,2014-06-13,415500.0,445000.0,540150.0,124650.0,3,98028,13.489213079580994,2009,0,4,2.5,1750,1750,4779,0,2.0,0,7,47.7608,-122.232,"47.7608,-122.232",Northeast 183rd Street,8019,,,King County,Washington,spring,442000.0,449975.0,425000.0,447500.0,autumn spring summer winter 
2576,1099600090,1,2014-06-13,205000.0,268500.0,266500.0,61500.0,5,98023,38.88077038749147,1976,0,3,1.0,1290,1290,6566,0,1.0,0,7,47.3004,-122.377,"47.3004,-122.377",Southwest 336th Street,,,,King County,Washington,spring,266000.0,275000.0,260000.0,272000.0,autumn spring summer winter 
2577,5647900120,1,2014-06-13,250600.0,260000.0,325780.0,75180.0,3,98001,35.00236741334963,1981,0,4,2.5,1930,1120,8660,810,1.0,0,7,47.3261,-122.26,"47.3261,-122.26",W Street Northwest,2025,,,King County,Washington,spring,250000.0,262000.0,263000.0,269950.0,spring summer winter 
2578,7504200120,1,2014-06-13,430000.0,644500.0,559000.0,129000.0,3,98074,14.89333215833516,1971,0,3,2.0,1910,1910,5040,0,1.5,0,8,47.6312,-122.061,"47.6312,-122.061",209th Avenue Northeast,2403,,,King County,Washington,spring,623000.0,656250.0,637000.0,623900.0,autumn spring summer winter 
2582,6083000037,1,2014-06-13,230000.0,235000.0,299000.0,69000.0,3,98168,17.466741301273565,1986,0,2,1.0,930,930,7550,0,1.0,0,6,47.4866,-122.303,"47.4866,-122.303",23rd Avenue South,13014,,,King County,Washington,spring,234525.0,235000.0,240500.0,235000.0,autumn spring summer winter 
2584,1646502055,1,2014-06-13,530100.0,545000.0,689130.0,159030.0,3,98117,8.955236187102395,1926,0,3,1.0,1540,1200,3399,340,1.5,0,7,47.6853,-122.359,"47.6853,-122.359",Northwest 78th Street,123,Whittier Heights,Seattle,King County,Washington,spring,535000.0,545000.0,545000.0,555000.0,autumn spring summer winter 
2585,3904900530,1,2014-06-13,485000.0,575000.0,630500.0,145500.0,3,98029,19.559807081342047,1985,0,3,2.5,1580,1580,6065,0,2.0,0,8,47.5692,-122.021,"47.5692,-122.021",Southeast 42nd Street,24103,,,King County,Washington,spring,575000.0,592500.0,561000.0,560000.0,autumn spring summer winter 
2587,7663700783,1,2014-06-13,369500.0,425000.0,480350.0,110850.0,4,98125,10.357212737632421,1961,0,3,1.5,1650,1100,9957,550,1.0,0,7,47.7303,-122.298,"47.7303,-122.298",28th Avenue Northeast,14001,Kenwood,Seattle,King County,Washington,spring,435500.0,429975.0,421750.0,425000.0,autumn spring summer winter 
2588,6083000050,1,2014-06-13,235000.0,235000.0,305500.0,70500.0,3,98168,17.44489787300621,1980,0,3,1.75,1900,950,8540,950,1.0,0,6,47.4868,-122.303,"47.4868,-122.303",24th Avenue South,13005,,,King County,Washington,spring,234525.0,235000.0,240500.0,235000.0,spring summer winter 
2590,291310180,1,2014-06-13,379500.0,570500.0,493350.0,113850.0,3,98027,18.59892697887567,2005,0,3,2.25,1410,1290,1287,120,2.0,0,7,47.5344,-122.068,"47.5344,-122.068",Northwest Boulder Way Drive,2012,,,King County,Washington,spring,545000.0,574950.0,575000.0,538100.0,autumn spring summer winter 
2591,952006728,1,2014-06-13,330000.0,710000.0,429000.0,99000.0,3,98102,12.900320342728858,2005,0,3,2.5,1070,720,1155,350,2.0,0,7,47.5617,-122.385,"47.5617,-122.385",Southwest Alaska Street,,,Seattle,King County,Washington,spring,752000.0,699750.0,652500.0,800000.0,autumn spring summer winter 
2595,7812801115,1,2014-06-13,153000.0,279000.0,198900.0,45900.0,3,98178,16.179435300013512,1944,0,3,1.0,1270,1270,6405,0,1.5,0,6,47.4959,-122.241,"47.4959,-122.241",75th Avenue South,12015,,Seattle,King County,Washington,spring,284000.0,282502.5,277554.0,261590.0,autumn spring summer winter 
2597,1994200040,1,2014-06-13,538000.0,550000.0,699400.0,161400.0,3,98103,7.739780852162165,1906,0,3,1.0,1460,1260,7200,200,1.0,0,7,47.6875,-122.336,"47.6875,-122.336",Wallingford Avenue North,8018,Licton Springs,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
2598,8562900310,1,2014-06-13,615000.0,644500.0,799500.0,184500.0,4,98074,15.407710151125212,1978,0,3,1.75,2350,1800,20820,550,1.0,0,8,47.6095,-122.059,"47.6095,-122.059",210th Place Northeast,24,,,King County,Washington,spring,623000.0,656250.0,637000.0,623900.0,autumn spring summer winter 
2602,3793700210,1,2014-06-13,299000.0,435000.0,388700.0,89700.0,5,98059,21.60220680375824,1962,0,3,1.75,1180,1180,13927,0,1.0,0,7,47.4818,-122.094,"47.4818,-122.094",Southeast 135th Street,18438,,,King County,Washington,spring,427500.0,450000.0,435000.0,420000.0,autumn spring summer winter 
2605,7689600360,1,2014-06-13,215000.0,279000.0,279500.0,64500.0,3,98178,16.778188676246653,1943,0,2,1.0,710,710,7200,0,1.0,0,6,47.4903,-122.245,"47.4903,-122.245",South 125th Street,7027,,Seattle,King County,Washington,spring,284000.0,282502.5,277554.0,261590.0,autumn spring summer winter 
2606,9475710060,1,2014-06-13,370000.0,435000.0,481000.0,111000.0,3,98059,18.802776455067896,2001,0,4,2.5,2220,2220,5338,0,2.0,0,7,47.4887,-122.15,"47.4887,-122.15",Northeast 4th Place,5127,Windsong,,King County,Washington,spring,427500.0,450000.0,435000.0,420000.0,autumn spring summer winter 
2607,7525050150,1,2014-06-13,475000.0,644500.0,617500.0,142500.0,3,98074,16.14614003165335,1981,0,3,2.25,1580,1200,12177,380,1.0,0,7,47.6254,-122.045,"47.6254,-122.045",Northeast 18th Street,22047,,,King County,Washington,spring,623000.0,656250.0,637000.0,623900.0,autumn spring summer winter 
2614,6762700452,1,2014-06-13,575000.0,710000.0,747500.0,172500.0,3,98102,4.724618670176221,2006,0,3,3.0,1384,1144,1287,240,2.0,0,8,47.6295,-122.32,"47.6295,-122.32",10th Avenue East,1128,,Seattle,King County,Washington,spring,752000.0,699750.0,652500.0,800000.0,autumn spring summer winter 
2615,3830620710,1,2014-06-13,206135.0,282755.0,267975.5,61840.5,4,98030,32.62071852727784,1978,0,3,1.0,1340,1340,11070,0,1.0,0,7,47.3527,-122.178,"47.3527,-122.178",Southeast 277th Place,12129,,,King County,Washington,spring,282000.0,285100.0,280000.0,291255.0,autumn spring summer winter 
2618,7955060010,1,2014-06-13,440000.0,446000.0,572000.0,132000.0,3,98034,11.141520224510645,1974,0,4,2.25,2010,1220,7575,790,1.0,0,7,47.7328,-122.2,"47.7328,-122.2",105th Court Northeast,14450,,,King County,Washington,spring,442500.0,460000.0,440000.0,440000.0,autumn spring summer winter 
2620,1523550480,1,2014-06-13,580000.0,615000.0,754000.0,174000.0,3,98052,11.342674590987304,1992,0,3,2.5,2040,2040,4627,0,2.0,0,8,47.6365,-122.108,"47.6365,-122.108",Northeast 28th Street,15144,,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
2621,3584900090,1,2014-06-13,577000.0,765475.0,750100.0,173100.0,4,98005,8.892434916636995,1967,0,3,1.75,1760,1230,12874,530,1.0,0,7,47.5906,-122.167,"47.5906,-122.167",Southeast 23rd Street,,Woodridge,Bellevue,King County,Washington,spring,806500.0,795000.0,740000.0,762450.0,autumn spring summer winter 
2624,6675500035,1,2014-06-13,435000.0,446000.0,565500.0,130500.0,3,98034,10.123594475964692,1997,0,3,1.75,1500,1500,8173,0,1.0,0,7,47.7293,-122.227,"47.7293,-122.227",Northeast 142nd Street,8528,Simonds Estates,,King County,Washington,spring,442500.0,460000.0,440000.0,440000.0,autumn spring summer winter 
2626,1760651000,1,2014-06-13,250000.0,291500.0,325000.0,75000.0,3,98042,34.08723823109248,2012,0,3,2.25,1400,1400,3814,0,2.0,0,7,47.3584,-122.083,"47.3584,-122.083",Southeast 271st Place,19413,Cornerstone,,King County,Washington,spring,279000.0,301750.0,299500.0,286000.0,autumn spring summer winter 
2630,945000250,1,2014-06-13,370000.0,545000.0,481000.0,111000.0,3,98117,9.492681171743264,1951,0,2,1.0,900,900,4600,0,1.0,0,6,47.6918,-122.361,"47.6918,-122.361",3rd Avenue Northwest,8617,,Seattle,King County,Washington,spring,535000.0,545000.0,545000.0,555000.0,autumn spring summer winter 
2632,4022900837,1,2014-06-13,350000.0,379975.0,455000.0,105000.0,3,98155,15.405171982929451,1976,0,3,1.75,1820,1230,9545,590,1.0,0,7,47.7772,-122.296,"47.7772,-122.296",Northeast 205th Street - 244th Street Southwest,3039,,,Snohomish County,Washington,spring,360000.0,382500.0,364500.0,410000.0,autumn spring summer winter 
2633,1005000036,1,2014-06-13,285000.0,370000.0,370500.0,85500.0,3,98118,11.740986653324867,1905,2014,3,1.75,1840,920,8601,920,1.0,0,7,47.5359,-122.276,"47.5359,-122.276",46th Avenue South,7403,Brighton,Seattle,King County,Washington,spring,351400.0,421000.0,358000.0,350000.0,autumn spring summer winter 
2635,3448720020,1,2014-06-13,385000.0,435000.0,500500.0,115500.0,3,98059,18.57286476573612,2006,0,4,2.5,2050,2050,5276,0,2.0,0,7,47.491,-122.15,"47.491,-122.15",Northeast 5th Place,5115,Hidden Creek,,King County,Washington,spring,427500.0,450000.0,435000.0,420000.0,autumn spring summer winter 
2636,7304300906,1,2014-06-13,304000.0,379975.0,395200.0,91200.0,4,98155,12.587492403035604,1947,0,3,1.0,1280,1280,8184,0,1.5,0,6,47.7467,-122.319,"47.7467,-122.319",10th Avenue Northeast,16189,North City,Shoreline,King County,Washington,spring,360000.0,382500.0,364500.0,410000.0,autumn spring summer winter 
2637,9521100585,1,2014-06-13,499950.0,550000.0,649935.0,149985.0,3,98103,7.2590469207401895,1926,0,3,1.0,1830,1430,3000,400,1.5,0,7,47.6619,-122.351,"47.6619,-122.351",North 46th Street,611,,Seattle,King County,Washington,spring,549500.0,550000.0,549500.0,565000.0,autumn spring summer winter 
2638,5452800800,1,2014-06-13,890000.0,993750.0,1157000.0,267000.0,3,98040,11.08836297867114,1974,0,4,2.25,2770,2770,13500,0,2.0,0,8,47.543,-122.231,"47.543,-122.231",81st Avenue Southeast,6717,,,King County,Washington,spring,1070000.0,1081000.0,940000.0,1049000.0,autumn spring summer winter 
2641,5459500145,1,2014-06-13,975000.0,993750.0,1267500.0,292500.0,4,98040,8.266130713601527,1973,0,5,2.75,3100,1660,10014,1440,1.0,0,9,47.5734,-122.213,"47.5734,-122.213",Mercerwood Drive,9342,,,King County,Washington,spring,1070000.0,1081000.0,940000.0,1049000.0,autumn spring winter 
2643,1545800205,1,2014-06-13,324900.0,342500.0,422370.0,97470.0,3,98038,34.48049974575944,2000,0,4,2.5,1880,1880,7965,0,2.0,0,7,47.3642,-122.052,"47.3642,-122.052",Southeast 265th Way,21661,Cherokee Bay,,King County,Washington,spring,342497.5,349475.0,345000.0,338975.0,autumn spring summer winter 
2644,3530490070,1,2014-06-13,210000.0,266125.0,273000.0,63000.0,4,98198,29.079266630876695,1978,0,2,1.75,1440,1440,5680,0,1.0,0,8,47.3825,-122.319,"47.3825,-122.319",12th Avenue South,24429,Zenith,,King County,Washington,spring,262500.0,257950.0,269900.0,275000.0,autumn spring summer winter 
2649,87000213,1,2014-06-13,129000.0,298500.0,167700.0,38700.0,3,98055,21.77321123173227,1950,0,2,1.0,1150,1150,30184,0,1.0,0,6,47.4492,-122.2,"47.4492,-122.2",106th Avenue Southeast,17029,Victoria Hills,,King County,Washington,spring,290000.0,305000.0,293000.0,310000.0,autumn spring summer winter 
2651,3438500677,1,2014-06-13,305000.0,315000.0,396500.0,91500.0,4,98106,12.224319697748209,1983,0,3,1.5,1210,610,5240,600,1.0,0,7,47.5524,-122.356,"47.5524,-122.356",17th Avenue Southwest,5445,,Seattle,King County,Washington,spring,315000.0,312250.0,315000.0,325000.0,autumn spring summer winter 
2652,42000245,1,2014-06-13,171000.0,264000.0,222300.0,51300.0,3,98188,19.259668484159175,1920,0,4,2.0,1520,1020,19672,500,1.0,0,6,47.4683,-122.281,"47.4683,-122.281",42nd Avenue South,15014,,,King County,Washington,spring,252000.0,267500.0,270000.0,255500.0,autumn spring summer winter 
2653,2744600040,1,2014-06-14,330000.0,425000.0,429000.0,99000.0,3,98125,10.677052604628692,1950,0,3,1.75,1430,1430,8865,0,1.0,0,7,47.7331,-122.299,"47.7331,-122.299",Northeast 144th Street,2704,Kenwood,Seattle,King County,Washington,spring,435500.0,429975.0,421750.0,425000.0,autumn spring summer winter 
2654,1727500340,1,2014-06-14,397500.0,446000.0,516750.0,119250.0,3,98034,9.30134470585138,1972,0,3,2.0,1510,1070,6710,440,1.0,0,7,47.7193,-122.216,"47.7193,-122.216",Northeast 133rd Street,9325,,,King County,Washington,spring,442500.0,460000.0,440000.0,440000.0,autumn spring summer winter 
2661,4037000160,1,2014-06-15,506000.0,545000.0,657800.0,151800.0,4,98008,11.25451135474079,1957,0,5,3.0,2430,1370,8000,1060,1.0,0,7,47.603,-122.12,"47.603,-122.12",Southeast 8th Street,16545,,Bellevue,King County,Washington,spring,529219.0,550000.0,563750.0,542000.0,autumn spring summer winter 
2664,6914700130,1,2014-06-15,520500.0,570000.0,676650.0,156150.0,4,98115,7.9240262410818,1940,0,3,2.0,1900,950,8100,950,1.0,0,7,47.6997,-122.319,"47.6997,-122.319",Northeast 97th Street,826,,Seattle,King County,Washington,spring,552500.0,595000.0,550000.0,580000.0,autumn spring summer winter 
2665,4037000080,1,2014-06-15,416000.0,545000.0,540800.0,124800.0,4,98008,11.098837475889445,1957,0,3,1.0,1110,1110,12150,0,1.0,0,7,47.6034,-122.122,"47.6034,-122.122",164th Avenue Southeast,,,Bellevue,King County,Washington,spring,529219.0,550000.0,563750.0,542000.0,autumn spring summer winter 
2666,1266200130,1,2014-06-15,650000.0,1155000.0,845000.0,195000.0,3,98004,5.471202707917535,1953,0,3,1.75,2140,1290,9484,850,1.0,0,7,47.6234,-122.191,"47.6234,-122.191",112th Avenue Northeast,,Ashwood,Bellevue,King County,Washington,spring,1116500.0,1190000.0,1014250.0,1398000.0,autumn spring summer winter 
2669,3832080070,1,2014-06-16,284000.0,291500.0,369200.0,85200.0,3,98042,37.246341498087524,2009,0,3,2.5,1880,1880,6008,0,2.0,0,7,47.3366,-122.052,"47.3366,-122.052",217th Place Southeast,29700,,,King County,Washington,spring,279000.0,301750.0,299500.0,286000.0,spring summer winter 
2673,9834200950,1,2014-06-16,385000.0,457500.0,500500.0,115500.0,4,98144,7.977572595490268,1984,0,4,1.75,1690,870,4080,820,1.0,0,7,47.572,-122.289,"47.572,-122.289",35th Avenue South,3415,,Seattle,King County,Washington,spring,425000.0,460000.0,490000.0,474500.0,autumn spring summer winter 
2675,6751300255,1,2014-06-16,470000.0,560000.0,611000.0,141000.0,4,98007,11.104636343929808,1956,0,3,1.5,1510,1510,8000,0,1.0,0,7,47.5865,-122.135,"47.5865,-122.135",155th Avenue Southeast,2643,,Bellevue,King County,Washington,spring,525000.0,592500.0,552000.0,598780.0,autumn spring summer winter 
2676,3052700419,1,2014-06-16,468500.0,545000.0,609050.0,140550.0,3,98117,9.630123114352106,2007,0,3,2.5,1350,1120,1186,230,2.0,0,8,47.6786,-122.375,"47.6786,-122.375",Alonzo Avenue Northwest,6724,Whittier Heights,Seattle,King County,Washington,spring,535000.0,545000.0,545000.0,555000.0,autumn spring summer winter 
2677,9324320040,1,2014-06-16,220000.0,268500.0,286000.0,66000.0,4,98023,37.19053467234234,1988,0,4,2.5,2240,1370,9826,870,1.0,0,7,47.314,-122.364,"47.314,-122.364",Southwest 322nd Street,2410,Twin Lakes,,King County,Washington,spring,266000.0,275000.0,260000.0,272000.0,autumn spring summer winter 
2678,1425059145,1,2014-06-16,455000.0,615000.0,591500.0,136500.0,3,98052,10.318742738378589,1970,0,2,1.5,1310,1310,12196,0,1.5,0,6,47.6487,-122.122,"47.6487,-122.122",Northeast 43rd Court,16378,,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
2679,4040800260,1,2014-06-16,418000.0,545000.0,543400.0,125400.0,3,98008,10.971119522207731,1965,0,4,1.5,1220,1220,10580,0,1.0,0,7,47.6205,-122.116,"47.6205,-122.116",168th Avenue Northeast,1244,,Bellevue,King County,Washington,spring,529219.0,550000.0,563750.0,542000.0,autumn spring summer winter 
2682,7202331160,1,2014-06-16,632500.0,634900.0,822250.0,189750.0,3,98053,17.20959015940612,2003,0,5,2.5,2640,2640,7096,0,2.0,0,7,47.6827,-122.038,"47.6827,-122.038",226th Place Northeast,9198,,,King County,Washington,spring,658000.0,666000.0,643750.0,569000.0,autumn spring summer 
2683,3326059191,1,2014-06-16,410000.0,678350.0,533000.0,123000.0,3,98033,9.06200519032429,1953,0,4,2.0,1580,1580,9581,0,1.0,0,7,47.692,-122.165,"47.692,-122.165",132nd Avenue Northeast,10221,,,King County,Washington,spring,649800.0,698000.0,675000.0,725000.0,autumn spring summer winter 
2685,1819800286,1,2014-06-16,460000.0,529975.0,598000.0,138000.0,4,98107,7.6589742801622736,1919,0,2,1.0,890,760,2100,130,1.0,0,6,47.656,-122.359,"47.656,-122.359",2nd Avenue Northwest,4008,,Seattle,King County,Washington,spring,500000.0,560000.0,517000.0,583500.0,autumn spring summer winter 
2686,8929000170,1,2014-06-16,357186.0,575000.0,464341.8,107155.79999999999,3,98029,21.87971203340079,2014,0,2,1.75,1210,1210,1040,0,2.0,0,8,47.5519,-121.999,"47.5519,-121.999",24th Ave NE,,,,King County,Washington,spring,575000.0,592500.0,561000.0,560000.0,autumn spring summer winter 
2690,9475200030,1,2014-06-16,499000.0,615000.0,648700.0,149700.0,4,98052,11.577571817399285,1968,0,3,1.75,1750,1470,12325,280,1.0,0,7,47.6832,-122.118,"47.6832,-122.118",Northeast 91st Street,16622,,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
2692,2710600045,1,2014-06-16,460000.0,570000.0,598000.0,138000.0,4,98115,4.378910785031216,1949,0,3,1.75,1550,860,4708,690,1.0,0,7,47.6759,-122.286,"47.6759,-122.286",39th Avenue Northeast,6503,,Seattle,King County,Washington,spring,552500.0,595000.0,550000.0,580000.0,autumn spring summer winter 
2693,5078400210,1,2014-06-16,921000.0,1155000.0,1197300.0,276300.0,4,98004,4.443442754989542,1954,0,4,1.5,2220,1490,9496,730,1.0,0,7,47.6233,-122.206,"47.6233,-122.206",Northeast 14th Street,1401,,Bellevue,King County,Washington,spring,1116500.0,1190000.0,1014250.0,1398000.0,autumn spring summer winter 
2694,2460600040,1,2014-06-16,175000.0,260000.0,227500.0,52500.0,3,98001,34.145025652629904,1973,0,3,1.5,1220,1220,7300,0,1.0,0,7,47.3341,-122.279,"47.3341,-122.279",South 299th Street,4342,,,King County,Washington,spring,250000.0,262000.0,263000.0,269950.0,autumn spring summer winter 
2695,3529000930,1,2014-06-16,530000.0,575000.0,689000.0,159000.0,3,98029,20.477471528415705,1988,0,4,2.5,2050,2050,6360,0,2.0,0,8,47.5641,-122.011,"47.5641,-122.011",Southeast 45th Way,24616,Hunter's Ridge,,King County,Washington,spring,575000.0,592500.0,561000.0,560000.0,autumn spring summer winter 
2703,7199310170,1,2014-06-16,518000.0,615000.0,673400.0,155400.0,4,98052,11.652211702672535,1976,0,4,2.5,1740,1220,7500,520,1.0,0,7,47.6927,-122.124,"47.6927,-122.124",162nd Place Northeast,10342,,,King County,Washington,spring,599500.0,625000.0,620000.0,600750.0,autumn spring summer winter 
2705,8691390460,1,2014-06-16,699850.0,739999.0,909805.0,209955.0,3,98075,21.95422749752807,2002,0,4,3.5,2690,2690,6164,0,2.0,0,9,47.599,-121.973,"47.599,-121.973",Southeast 10th Street,,,,King County,Washington,spring,707500.0,742000.0,739900.0,763000.0,autumn spring summer winter 
2707,223049087,1,2014-06-16,277000.0,370000.0,360100.0,83100.0,4,98118,13.864758035704249,1957,0,3,1.0,1100,1100,8536,0,1.0,0,7,47.5162,-122.261,"47.5162,-122.261",58th Avenue South,9621,Rainier Beach,Seattle,King County,Washington,spring,351400.0,421000.0,358000.0,350000.0,autumn spring summer winter 
2709,6788201015,1,2014-06-16,690000.0,920000.0,897000.0,207000.0,5,98112,3.0530267348235305,1918,0,2,1.75,1600,850,4000,750,1.0,0,7,47.6408,-122.3,"47.6408,-122.3",East Calhoun Street,2505,Montlake,Seattle,King County,Washington,spring,841250.0,920000.0,952500.0,1025000.0,autumn spring summer winter 
2710,1725800280,1,2014-06-16,373000.0,396587.5,484900.0,111900.0,4,98126,13.038547826313323,1926,0,3,1.0,1770,1140,5720,630,1.5,0,7,47.5546,-122.377,"47.5546,-122.377",36th Avenue Southwest,5236,High Point,Seattle,King County,Washington,spring,382000.0,405000.0,379900.0,441000.0,autumn spring summer winter 
2711,3319500385,1,2014-06-16,400000.0,457500.0,520000.0,120000.0,3,98144,5.71323881151233,1947,0,4,1.75,1580,1130,5340,450,1.0,0,7,47.6003,-122.306,"47.6003,-122.306",20th Avenue South,216,,Seattle,King County,Washington,spring,425000.0,460000.0,490000.0,474500.0,autumn spring summer winter 
2713,6820100010,1,2014-06-16,415000.0,570000.0,539500.0,124500.0,4,98115,6.152399622950537,1923,0,4,2.0,1800,1000,2970,800,1.0,0,7,47.6833,-122.312,"47.6833,-122.312",15th Avenue Northeast,,,Seattle,King County,Washington,spring,552500.0,595000.0,550000.0,580000.0,autumn spring summer winter 
2714,3626039424,1,2014-06-16,320000.0,375000.0,416000.0,96000.0,3,98133,10.186528850684084,2005,0,3,2.25,1200,1200,1400,0,3.0,0,8,47.7046,-122.357,"47.7046,-122.357",Holman Road North,10401,,Seattle,King County,Washington,spring,362500.0,400000.0,358401.5,415000.0,autumn spring summer winter 
2715,8078410210,1,2014-06-16,566000.0,644500.0,735800.0,169800.0,3,98074,17.256482408501586,1987,0,4,2.25,2170,2170,7737,0,2.0,0,8,47.637,-122.029,"47.637,-122.029",Northeast 29th Court,23282,,,King County,Washington,spring,623000.0,656250.0,637000.0,623900.0,autumn spring summer winter 
2717,5216200090,1,2014-06-16,385000.0,465000.0,500500.0,115500.0,4,98070,29.414644466727445,1928,0,2,1.0,830,830,26329,0,1.0,1,6,47.4012,-122.425,"47.4012,-122.425",Southwest Maury Park Road,7318,Melchert,,King County,Washington,spring,467500.0,427000.0,496000.0,519000.0,autumn spring summer winter 
2721,2461900448,1,2014-06-16,435000.0,489950.0,565500.0,130500.0,3,98136,13.473012509904047,2007,0,3,2.0,1980,1980,2674,0,3.0,0,8,47.5524,-122.382,"47.5524,-122.382",Fauntleroy Way Southwest,5451,,Seattle,King County,Washington,spring,469300.0,515000.0,454900.0,525000.0,autumn spring summer winter 
2722,9407102360,1,2014-06-16,309212.0,399500.0,401975.60000000003,92763.60000000003,3,98045,42.53103479071443,1979,0,3,1.75,1150,1150,9600,0,1.0,0,7,47.4434,-121.774,"47.4434,-121.774",Southeast 175th Place,42559,Wilderness Rim,,King County,Washington,spring,355000.0,427437.0,413500.0,414500.0,autumn spring summer winter 
2723,6300000364,1,2014-06-16,235000.0,375000.0,305500.0,70500.0,3,98133,9.563544370012487,1999,0,2,1.5,880,880,1805,0,2.0,0,7,47.7064,-122.342,"47.7064,-122.342",Stone Avenue North,10546,,Seattle,King County,Washington,spring,362500.0,400000.0,358401.5,415000.0,autumn spring summer winter 
2724,3448740070,1,2014-06-16,429000.0,435000.0,557700.0,128700.0,3,98059,18.432331408261792,2009,0,5,2.5,2340,2340,4500,0,2.0,0,7,47.4911,-122.154,"47.4911,-122.154",Elma Place Northeast,526,Blueberry Place,,King County,Washington,spring,427500.0,450000.0,435000.0,420000.0,spring summer 
2726,522059158,1,2014-06-16,230000.0,288400.0,299000.0,69000.0,4,98031,24.627277526269648,1957,0,3,1.75,1400,1400,6956,0,1.0,0,7,47.4233,-122.198,"47.4233,-122.198",Southeast 200th Street,10642,,,King County,Washington,spring,295000.0,288400.0,289659.0,279500.0,autumn spring summer winter 
